id,nick,comment,refer_nick,refer,time,star
1436959152,ninajjw,连续的三部曲,鹤唳_ran,最后一趴的伴奏是不是疯人院的调调,2020/04/30 11:08:33,昨天22:33,0
1436959152,疯_H6xN,"华晨宇，人间美好❤️
谢谢你大哥！",,,2020/04/30 11:08:33,昨天22:32,0
1436959152,ninajjw,实至名归,井岑,从七重人格来的，我真服了华晨宇。,2020/04/30 11:08:34,昨天22:32,0
1436959152,shut------up-,不是的，ET对他来说很重要，那个她的存在只是多一个以另一种方式爱他的人，或者说大哥有了生命中该有的那一部分。,华晨宇最爱的小疯子,如果有一天那个她来了你会如何?应该那时ET会不再是他心中很重要的人吧,2020/04/30 11:08:34,昨天22:21,0
1436959152,shut------up-,我觉得以前的小爱和这个版本不大一样,-阳光-肆无忌惮-,这个和第一次发布的录音室小爱有区别吗？,2020/04/30 11:08:35,昨天22:19,0
1436959152,shut------up-,没事没事，歌手那个以后会要VIP的,这里是苏卿寒鸭,我刚买，突然就免费了,2020/04/30 11:08:35,昨天22:18,1
1436959152,shut------up-,没有没有，歌手那个以后会有VIP,一缕烊光万千玺爱_,我白花了三块,2020/04/30 11:08:35,昨天22:18,0
1436959152,更优秀和爱自己,有一个马上破百万了哈哈哈哈哈,花花我家滴,隔壁两个小爱都10w了，你应该好好反思一下了🌝🌚,2020/04/30 11:08:36,昨天22:18,0
1436959152,臭臭宝贝_Y7zT,,,,2020/04/30 11:08:36,昨天22:15,0
1436959152,每天一口华晨宇Q,加油呀，虽然我不知道你发生了什么，但是要永远爱自己呀,0xffff,,2020/04/30 11:08:36,昨天22:12,0
1436959152,每天一口华晨宇Q,经常？？？？中间有刻意设计的停顿，不知道你说的是不是这个,-阳光-肆无忌惮-,为啥听新专辑的歌中间经常卡？你们有这种情况吗？？别的歌没问题……,2020/04/30 11:08:37,昨天22:11,0
1436959152,Daisy_Qiao,,,,2020/04/30 11:08:37,昨天22:07,0
1436959152,拥抱好运的刺槐yu,一直在,,,2020/04/30 11:08:38,昨天22:04,0
1436959152,男儿立志出夔关,都给了花花,清莲191217,第一次买专辑居然是宝贝花花的四专，开心😄,2020/04/30 11:08:38,昨天22:00,0
1436959152,野好_a1990,好想爱这个世界啊,,,2020/04/30 11:08:38,昨天21:57,0
1436959152,鱼儿_NAe4,这个小爱好少的评论呀,,,2020/04/30 11:08:39,昨天21:54,0
1436959152,子熹-yu,仨小爱分流,LGno-talking,隔壁小爱都快100w了，你这个咋这么不争气呢,2020/04/30 11:08:40,昨天21:50,0
1436959152,芊芊没脑子,大哥，等着我，再过几年高考完，我就回家😭😭,,,2020/04/30 11:08:41,昨天21:48,0
1436959152,abs_鬼笛,倒数第三句可以听到疯人院哦,,,2020/04/30 11:08:41,昨天21:44,0
1436959152,这不是最后一天sjl,晚安,,,2020/04/30 11:08:41,昨天21:42,0
1436959152,大哥的柠檬精,,,,2020/04/30 11:08:42,昨天21:42,0
1436959152,500英里1908,终于忙完，来听听歌,,,2020/04/30 11:08:42,昨天21:41,0
1436959152,Trady谭,好想听大哥现场，这两年被圈粉了，真的喜欢，买专支持,,,2020/04/30 11:08:42,昨天21:41,0
1436959152,绒绒才不去搬砖,对啊,禾煦孑孑yu,又听哭了啊。,2020/04/30 11:08:43,昨天21:24,0
1436959152,清涟影,(ー_ー)没有免费也没有多花钱，之前买过的专辑会减掉3块钱,,,2020/04/30 11:08:43,昨天21:22,2
1436959152,禾煦孑孑yu,又听哭了啊。,绒绒才不去搬砖,好想爱这个世界啊~,2020/04/30 11:08:44,昨天21:20,0
1436959152,清涟影,没有免费啊，之前买过的买专辑会减掉3块钱,这里是苏卿寒鸭,我刚买，突然就免费了,2020/04/30 11:08:44,昨天21:20,1
1436959152,清涟影,没有白花，之前买过的再买专辑会减掉3块钱,Fliplt_,三块钱白花了,2020/04/30 11:08:44,昨天21:19,2
1436959152,清涟影,没有白花，之前买过的专辑会减掉3块钱,一缕烊光万千玺爱_,我白花了三块,2020/04/30 11:08:45,昨天21:19,3
1436959152,路汐L,03:45是疯人院的调耶,,,2020/04/30 11:08:45,昨天21:10,3
1436959152,扎不理,下载还不要钱妈妈呀盗版,,,2020/04/30 11:08:45,昨天21:07,0
1436959152,Mars-柊yu,你是我的光啊,,,2020/04/30 11:08:46,昨天21:07,1
1436959152,扎不理,我靠我花钱买的为啥会有个这,,,2020/04/30 11:08:46,昨天21:07,0
1436959152,一缕烊光万千玺爱_,我白花了三块,,,2020/04/30 11:08:47,昨天21:06,0
1436959152,Fliplt_,三块钱白花了,,,2020/04/30 11:08:47,昨天21:06,0
1436959152,路汐L,"从别的歌的评论看到的
最近生活给我的一些发现：
1.傍晚跑完步的超市比平常的超市都要好逛。
2.低糖水果泡在脱脂牛奶中既健康又美味
3.下雨天窝在沙发上看电影整个世界都会变温柔
4.和喜欢的人一起吃宵夜负罪感会减小
5.坚持记录快乐和美好 生活就真的会变美好
6.最烟火气的生活最简单也最幸福 ",沧云Claudia,今天确诊重度抑郁，头像爆炸一样疼。听到这首歌又哭的泣不成声了，还没找到对这个世界的期待,2020/04/30 11:08:47,昨天21:03,1
